country,continent,year,lifeExp,pop,gdpPercap,log_gdp
Austria,Europe,1977,72.17,7568430,19749.4223,9.890879519
Austria,Europe,1982,73.18,7574613,21597.08362,9.980313567
Austria,Europe,1987,74.94,7578903,23687.82607,10.07271653
Austria,Europe,1992,76.04,7914969,27042.01868,10.20514718
Austria,Europe,1997,77.51,8069876,29095.92066,10.27835326
Austria,Europe,2002,78.98,8148312,32417.60769,10.386457
Austria,Europe,2007,79.829,8199783,36126.4927,10.49478174
Bahrain,Asia,1952,50.939,120447,9867.084765,9.196959726
Bahrain,Asia,1957,53.832,138655,11635.79945,9.361841784
Bahrain,Asia,1962,56.923,171863,12753.27514,9.453543391
Bahrain,Asia,1967,59.923,202182,14804.6727,9.602698133
Bahrain,Asia,1972,63.3,230800,18268.65839,9.812942214
Bahrain,Asia,1977,65.593,297410,19340.10196,9.869936041
Bahrain,Asia,1982,69.052,377967,19211.14731,9.863245979
Bahrain,Asia,1987,70.75,454612,18524.02406,9.826823766
Bahrain,Asia,1992,72.601,529491,19035.57917,9.854065095
Bahrain,Asia,1997,73.925,598561,20292.01679,9.917982826
Bahrain,Asia,2002,74.795,656397,23403.55927,10.0606434
Bahrain,Asia,2007,75.635,708573,29796.04834,10.30213106
Bangladesh,Asia,1952,37.484,46886859,684.2441716,6.52831483
Bangladesh,Asia,1957,39.348,51365468,661.6374577,6.494717759
Bangladesh,Asia,1962,41.216,56839289,686.3415538,6.531375396
Bangladesh,Asia,1967,43.453,62821884,721.1860862,6.580897199
Bangladesh,Asia,1972,45.252,70759295,630.2336265,6.446090586
Bangladesh,Asia,1977,46.923,80428306,659.8772322,6.492053806
Bangladesh,Asia,1982,50.009,93074406,676.9818656,6.517644486
Bangladesh,Asia,1987,52.819,103764241,751.9794035,6.622708935
Bangladesh,Asia,1992,56.018,113704579,837.8101643,6.730791541
Bangladesh,Asia,1997,59.412,123315288,972.7700352,6.880147708
Bangladesh,Asia,2002,62.013,135656790,1136.39043,7.035612229
Bangladesh,Asia,2007,64.062,150448339,1391.253792,7.237960628
Belgium,Europe,1952,68,8730405,8343.105127,9.029190743
Belgium,Europe,1957,69.24,8989111,9714.960623,9.181422309
Belgium,Europe,1962,70.25,9218400,10991.20676,9.304850847
Belgium,Europe,1967,70.94,9556500,13149.04119,9.484104122
Belgium,Europe,1972,71.44,9709100,16672.14356,9.721494555
Belgium,Europe,1977,72.8,9821800,19117.97448,9.858384244
Belgium,Europe,1982,73.93,9856303,20979.84589,9.951317536
Belgium,Europe,1987,75.35,9870200,22525.56308,10.02240608
Belgium,Europe,1992,76.46,10045622,25575.57069,10.1493929
Belgium,Europe,1997,77.53,10199787,27561.19663,10.22416414
Belgium,Europe,2002,78.32,10311970,30485.88375,10.32501903
Belgium,Europe,2007,79.441,10392226,33692.60508,10.42503366
Benin,Africa,1952,38.223,1738315,1062.7522,6.968617237
Benin,Africa,1957,40.358,1925173,959.6010805,6.866517657
Benin,Africa,1962,42.618,2151895,949.4990641,6.855934545
Benin,Africa,1967,44.885,2427334,1035.831411,6.942959679
Benin,Africa,1972,47.014,2761407,1085.796879,6.990069447
Benin,Africa,1977,49.19,3168267,1029.161251,6.93649943
Benin,Africa,1982,50.904,3641603,1277.897616,7.152971519
Benin,Africa,1987,52.337,4243788,1225.85601,7.111394663
Benin,Africa,1992,53.919,4981671,1191.207681,7.082722929
Benin,Africa,1997,54.777,6066080,1232.975292,7.117185464
Benin,Africa,2002,54.406,7026113,1372.877931,7.224664495
Benin,Africa,2007,56.728,8078314,1441.284873,7.273290268
Bolivia,Americas,1952,40.414,2883315,2677.326347,7.892573944
Bolivia,Americas,1957,41.89,3211738,2127.686326,7.662790436
Bolivia,Americas,1962,43.428,3593918,2180.972546,7.687526178
Bolivia,Americas,1967,45.032,4040665,2586.886053,7.858210135
Bolivia,Americas,1972,46.714,4565872,2980.331339,7.999789761
Bolivia,Americas,1977,50.023,5079716,3548.097832,8.174166917
Bolivia,Americas,1982,53.859,5642224,3156.510452,8.057222409
Bolivia,Americas,1987,57.251,6156369,2753.69149,7.920697651
Bolivia,Americas,1992,59.957,6893451,2961.699694,7.993518603
Bolivia,Americas,1997,62.05,7693188,3326.143191,8.109568711
Bolivia,Americas,2002,63.883,8445134,3413.26269,8.135423913
Bolivia,Americas,2007,65.554,9119152,3822.137084,8.248564991
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948,6.880931923
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989176,7.210810459
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.683679,7.444063649
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.352423,7.683565925
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.16975,7.958636255
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.481305,8.168622832
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157,8.325212291
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757,8.369647428
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445,7.842585663
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904,8.46933733
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239,8.702672298
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,8.915472383
Botswana,Africa,1952,47.622,442308,851.2411407,6.74669545
Botswana,Africa,1957,49.618,474639,918.2325349,6.822450665
Botswana,Africa,1962,51.52,512764,983.6539764,6.891274185
Botswana,Africa,1967,53.298,553541,1214.709294,7.102260063
Botswana,Africa,1972,56.024,619351,2263.611114,7.724716655
Botswana,Africa,1977,59.319,781472,3214.857818,8.075538411
Botswana,Africa,1982,61.484,970347,4551.14215,8.423133502
Botswana,Africa,1987,63.622,1151184,6205.88385,8.733253129
Botswana,Africa,1992,62.745,1342614,7954.111645,8.981444262
Botswana,Africa,1997,52.556,1536536,8647.142313,9.064984177
Botswana,Africa,2002,46.634,1630347,11003.60508,9.305978233
Botswana,Africa,2007,50.728,1639131,12569.85177,9.439056509
Brazil,Americas,1952,50.917,56602560,2108.944355,7.653942796
Brazil,Americas,1957,53.285,65551171,2487.365989,7.818979594
Brazil,Americas,1962,55.665,76039390,3336.585802,8.112703348
Brazil,Americas,1967,57.632,88049823,3429.864357,8.140275993
Brazil,Americas,1972,59.504,100840058,4985.711467,8.514331394
Brazil,Americas,1977,61.489,114313951,6660.118654,8.803892579
Brazil,Americas,1982,63.336,128962939,7030.835878,8.858060879
Brazil,Americas,1987,65.205,142938076,7807.095818,8.962788319
Brazil,Americas,1992,67.057,155975974,6950.283021,8.84653766
Brazil,Americas,1997,69.388,168546719,7957.980824,8.981930581
Brazil,Americas,2002,71.006,179914212,8131.212843,9.003465373
Brazil,Americas,2007,72.39,190010647,9065.800825,9.112264462
Bulgaria,Europe,1952,59.6,7274900,2444.286648,7.8015086
Bulgaria,Europe,1957,66.61,7651254,3008.670727,8.009253641
Bulgaria,Europe,1962,69.51,8012946,4254.337839,8.355694409
Bulgaria,Europe,1967,70.42,8310226,5577.0028,8.626406778
Bulgaria,Europe,1972,70.9,8576200,6597.494398,8.794445219
Bulgaria,Europe,1977,70.81,8797022,7612.240438,8.937512815
Bulgaria,Europe,1982,71.08,8892098,8224.191647,9.014835291
Bulgaria,Europe,1987,71.34,8971958,8239.854824,9.016738004
Bulgaria,Europe,1992,71.19,8658506,6302.623438,8.748721244
Bulgaria,Europe,1997,70.32,8066057,5970.38876,8.694567323
Bulgaria,Europe,2002,72.14,7661799,7696.777725,8.948557043
Bulgaria,Europe,2007,73.005,7322858,10680.79282,9.276202344
Burkina Faso,Africa,1952,31.975,4469979,543.2552413,6.297579267
Burkina Faso,Africa,1957,34.906,4713416,617.1834648,6.425166329
Burkina Faso,Africa,1962,37.814,4919632,722.5120206,6.582734057
Burkina Faso,Africa,1967,40.697,5127935,794.8265597,6.678123927
Burkina Faso,Africa,1972,43.591,5433886,854.7359763,6.750792622
Burkina Faso,Africa,1977,46.137,5889574,743.3870368,6.61121682
Burkina Faso,Africa,1982,48.122,6634596,807.1985855,6.693569717
Burkina Faso,Africa,1987,49.557,7586551,912.0631417,6.815709222
Burkina Faso,Africa,1992,50.26,8878303,931.7527731,6.837067515
Burkina Faso,Africa,1997,50.324,10352843,946.2949618,6.852554319
Burkina Faso,Africa,2002,50.65,12251209,1037.645221,6.944709214
Burkina Faso,Africa,2007,52.295,14326203,1217.032994,7.104171204
Burundi,Africa,1952,39.031,2445618,339.2964587,5.826874235
Burundi,Africa,1957,40.533,2667518,379.5646281,5.93902488
Burundi,Africa,1962,42.045,2961915,355.2032273,5.872690097
Burundi,Africa,1967,43.548,3330989,412.9775136,6.023393145
Burundi,Africa,1972,44.057,3529983,464.0995039,6.140098977
Burundi,Africa,1977,45.91,3834415,556.1032651,6.320954006
Burundi,Africa,1982,47.471,4580410,559.603231,6.327228017
Burundi,Africa,1987,48.211,5126023,621.8188189,6.432648762
Burundi,Africa,1992,44.736,5809236,631.6998778,6.448414404
Burundi,Africa,1997,45.326,6121610,463.1151478,6.137975723
Burundi,Africa,2002,47.36,7021078,446.4035126,6.10122328
Burundi,Africa,2007,49.58,8390505,430.0706916,6.063949594
Cambodia,Asia,1952,39.417,4693836,368.4692856,5.909357358
Cambodia,Asia,1957,41.366,5322536,434.0383364,6.073132863
Cambodia,Asia,1962,43.415,6083619,496.9136476,6.208416264
Cambodia,Asia,1967,45.415,6960067,523.4323142,6.260407727
Cambodia,Asia,1972,40.317,7450606,421.6240257,6.044113983
Cambodia,Asia,1977,31.22,6978607,524.9721832,6.263345277
Cambodia,Asia,1982,50.957,7272485,624.4754784,6.436912063
Cambodia,Asia,1987,53.914,8371791,683.8955732,6.527805235
Cambodia,Asia,1992,55.803,10150094,682.3031755,6.525474098
Cambodia,Asia,1997,56.534,11782962,734.28517,6.598897468
Cambodia,Asia,2002,56.752,12926707,896.2260153,6.79819263
Cambodia,Asia,2007,59.723,14131858,1713.778686,7.446455969
Cameroon,Africa,1952,38.523,5009067,1172.667655,7.067036479
Cameroon,Africa,1957,40.428,5359923,1313.048099,7.180106507
Cameroon,Africa,1962,42.643,5793633,1399.607441,7.243947077
Cameroon,Africa,1967,44.799,6335506,1508.453148,7.318839999
Cameroon,Africa,1972,47.049,7021028,1684.146528,7.429014203
Cameroon,Africa,1977,49.355,7959865,1783.432873,7.486295366
Cameroon,Africa,1982,52.961,9250831,2367.983282,7.769793936
Cameroon,Africa,1987,54.985,10780667,2602.664206,7.864290894
Cameroon,Africa,1992,54.314,12467171,1793.163278,7.491736534
Cameroon,Africa,1997,52.199,14195809,1694.337469,7.43504707
Cameroon,Africa,2002,49.856,15929988,1934.011449,7.567351596
Cameroon,Africa,2007,50.43,17696293,2042.09524,7.621731638
Canada,Americas,1952,68.75,14785584,11367.16112,9.338483874
Canada,Americas,1957,69.96,17010154,12489.95006,9.432679605
Canada,Americas,1962,71.3,18985849,13462.48555,9.507662248
Canada,Americas,1967,72.13,20819767,16076.58803,9.685119333
Canada,Americas,1972,72.88,22284500,18970.57086,9.850644155
Canada,Americas,1977,74.21,23796400,22090.88306,10.00292027
Canada,Americas,1982,75.76,25201900,22898.79214,10.03883944
Canada,Americas,1987,76.86,26549700,26626.51503,10.1896628
Canada,Americas,1992,77.95,28523502,26342.88426,10.17895347
Canada,Americas,1997,78.61,30305843,28954.92589,10.27349562
Canada,Americas,2002,79.77,31902268,33328.96507,10.41418212
Canada,Americas,2007,80.653,33390141,36319.23501,10.50010277
Central African Republic,Africa,1952,35.463,1291695,1071.310713,6.976638143
Central African Republic,Africa,1957,37.464,1392284,1190.844328,7.082417854
Central African Republic,Africa,1962,39.475,1523478,1193.068753,7.084284051
Central African Republic,Africa,1967,41.478,1733638,1136.056615,7.035318435
Central African Republic,Africa,1972,43.457,1927260,1070.013275,6.975426334
Central African Republic,Africa,1977,46.775,2167533,1109.374338,7.011551476
Central African Republic,Africa,1982,48.295,2476971,956.7529907,6.86354525
Central African Republic,Africa,1987,50.485,2840009,844.8763504,6.739190286
Central African Republic,Africa,1992,49.396,3265124,747.9055252,6.617276667
Central African Republic,Africa,1997,46.066,3696513,740.5063317,6.607334184
Central African Republic,Africa,2002,43.308,4048013,738.6906068,6.604879169
Central African Republic,Africa,2007,44.741,4369038,706.016537,6.559638661
Chad,Africa,1952,38.092,2682462,1178.665927,7.072138508
Chad,Africa,1957,39.881,2894855,1308.495577,7.176633342
Chad,Africa,1962,41.716,3150417,1389.817618,7.236927807
Chad,Africa,1967,43.601,3495967,1196.810565,7.087415435
Chad,Africa,1972,45.569,3899068,1104.103987,7.006789414
Chad,Africa,1977,47.383,4388260,1133.98495,7.033493213
Chad,Africa,1982,49.517,4875118,797.9081006,6.681993429
Chad,Africa,1987,51.051,5498955,952.386129,6.85897055
Chad,Africa,1992,51.724,6429417,1058.0643,6.964196386
Chad,Africa,1997,51.573,7562011,1004.961353,6.912704365
Chad,Africa,2002,50.525,8835739,1156.18186,7.052878355
Chad,Africa,2007,50.651,10238807,1704.063724,7.440771103
Chile,Americas,1952,54.745,6377619,3939.978789,8.278930619
Chile,Americas,1957,56.074,7048426,4315.622723,8.369996909
Chile,Americas,1962,57.924,7961258,4519.094331,8.416066884
Chile,Americas,1967,60.523,8858908,5106.654313,8.538299735
Chile,Americas,1972,63.441,9717524,5494.024437,8.611416315
Chile,Americas,1977,67.052,10599793,4756.763836,8.46732285
Chile,Americas,1982,70.565,11487112,5095.665738,8.536145602
Chile,Americas,1987,72.492,12463354,5547.063754,8.621024013
Chile,Americas,1992,74.126,13572994,7596.125964,8.935393655
Chile,Americas,1997,75.816,14599929,10118.05318,9.222076551
Chile,Americas,2002,77.86,15497046,10778.78385,9.285335023
Chile,Americas,2007,78.553,16284741,13171.63885,9.485821225
China,Asia,1952,44,556263527,400.448611,5.992585446
China,Asia,1957,50.54896,637408000,575.9870009,6.356085093
China,Asia,1962,44.50136,665770000,487.6740183,6.189647187
China,Asia,1967,58.38112,754550000,612.7056934,6.417884712
China,Asia,1972,63.11888,862030000,676.9000921,6.517523688
China,Asia,1977,63.96736,943455000,741.2374699,6.608321046
China,Asia,1982,65.525,1000281000,962.4213805,6.86945238
China,Asia,1987,67.274,1084035000,1378.904018,7.229044273
China,Asia,1992,68.69,1164970000,1655.784158,7.412029987
China,Asia,1997,70.426,1230075000,2289.234136,7.735972602
China,Asia,2002,72.028,1280400000,3119.280896,8.045357772
China,Asia,2007,72.961,1318683096,4959.114854,8.508982547
Colombia,Americas,1952,50.643,12350771,2144.115096,7.670482204
Colombia,Americas,1957,55.118,14485993,2323.805581,7.750961457
Colombia,Americas,1962,57.863,17009885,2492.351109,7.820981764
Colombia,Americas,1967,59.963,19764027,2678.729839,7.89309802
Colombia,Americas,1972,61.623,22542890,3264.660041,8.090910914
Colombia,Americas,1977,63.837,25094412,3815.80787,8.246907683
Colombia,Americas,1982,66.653,27764644,4397.575659,8.388808681
Colombia,Americas,1987,67.768,30964245,4903.2191,8.497647228
Colombia,Americas,1992,68.421,34202721,5444.648617,8.6023885
Colombia,Americas,1997,70.313,37657830,6117.361746,8.718886195
Colombia,Americas,2002,71.682,41008227,5755.259962,8.657869492
Colombia,Americas,2007,72.889,44227550,7006.580419,8.854605046
Comoros,Africa,1952,40.715,153936,1102.990936,7.005780802
Comoros,Africa,1957,42.46,170928,1211.148548,7.099324402
Comoros,Africa,1962,44.467,191689,1406.648278,7.248965046
Comoros,Africa,1967,46.472,217378,1876.029643,7.536912931
Comoros,Africa,1972,48.944,250027,1937.577675,7.569193851
Comoros,Africa,1977,50.939,304739,1172.603047,7.066981383
Comoros,Africa,1982,52.933,348643,1267.100083,7.144486169
Comoros,Africa,1987,54.926,395114,1315.980812,7.182337531
Comoros,Africa,1992,57.939,454429,1246.90737,7.128421661
Comoros,Africa,1997,60.66,527982,1173.618235,7.067846764
Comoros,Africa,2002,62.974,614382,1075.811558,6.980830593
Comoros,Africa,2007,65.152,710960,986.1478792,6.893806322
"Congo, Dem. Rep.",Africa,1952,39.143,14100005,780.5423257,6.659988967
"Congo, Dem. Rep.",Africa,1957,40.652,15577932,905.8602303,6.808885023
"Congo, Dem. Rep.",Africa,1962,42.122,17486434,896.3146335,6.798291505
"Congo, Dem. Rep.",Africa,1967,44.056,19941073,861.5932424,6.758783283
"Congo, Dem. Rep.",Africa,1972,45.989,23007669,904.8960685,6.807820096
"Congo, Dem. Rep.",Africa,1977,47.804,26480870,795.757282,6.679294217
"Congo, Dem. Rep.",Africa,1982,47.784,30646495,673.7478181,6.512855884
"Congo, Dem. Rep.",Africa,1987,47.412,35481645,672.774812,6.51141067
"Congo, Dem. Rep.",Africa,1992,45.548,41672143,457.7191807,6.126255853
"Congo, Dem. Rep.",Africa,1997,42.587,47798986,312.188423,5.743606925
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,241.1658765,5.485484981
"Congo, Dem. Rep.",Africa,2007,46.462,64606759,277.5518587,5.626007794
"Congo, Rep.",Africa,1952,42.111,854885,2125.621418,7.661819471
"Congo, Rep.",Africa,1957,45.053,940458,2315.056572,7.747189403
"Congo, Rep.",Africa,1962,48.435,1047924,2464.783157,7.809859114
"Congo, Rep.",Africa,1967,52.04,1179760,2677.939642,7.892802988
"Congo, Rep.",Africa,1972,54.907,1340458,3213.152683,8.075007878
"Congo, Rep.",Africa,1977,55.625,1536769,3259.178978,8.089230595
"Congo, Rep.",Africa,1982,56.695,1774735,4879.507522,8.492799576
"Congo, Rep.",Africa,1987,57.47,2064095,4201.194937,8.343124273
"Congo, Rep.",Africa,1992,56.433,2409073,4016.239529,8.298101303
"Congo, Rep.",Africa,1997,52.962,2800947,3484.164376,8.155983517
"Congo, Rep.",Africa,2002,52.97,3328795,3484.06197,8.155954125
"Congo, Rep.",Africa,2007,55.322,3800610,3632.557798,8.197692307
Costa Rica,Americas,1952,57.206,926317,2627.009471,7.873601395
Costa Rica,Americas,1957,60.026,1112300,2990.010802,8.003032279
Costa Rica,Americas,1962,62.842,1345187,3460.937025,8.149294648
Costa Rica,Americas,1967,65.424,1588717,4161.727834,8.333685612
Costa Rica,Americas,1972,67.849,1834796,5118.146939,8.540547727
Costa Rica,Americas,1977,70.75,2108457,5926.876967,8.687252704
Costa Rica,Americas,1982,73.45,2424367,5262.734751,8.568406085
Costa Rica,Americas,1987,74.752,2799811,5629.915318,8.63584968
Costa Rica,Americas,1992,75.713,3173216,6160.416317,8.725899638
Costa Rica,Americas,1997,77.26,3518107,6677.045314,8.80643085
Costa Rica,Americas,2002,78.123,3834934,7723.447195,8.952016071
Costa Rica,Americas,2007,78.782,4133884,9645.06142,9.174201293
Cote d'Ivoire,Africa,1952,40.477,2977019,1388.594732,7.236047531
Cote d'Ivoire,Africa,1957,42.469,3300000,1500.895925,7.313817492
Cote d'Ivoire,Africa,1962,44.93,3832408,1728.869428,7.455222964
Cote d'Ivoire,Africa,1967,47.35,4744870,2052.050473,7.626594803
Cote d'Ivoire,Africa,1972,49.801,6071696,2378.201111,7.774099645
Cote d'Ivoire,Africa,1977,52.374,7459574,2517.736547,7.831115581
Cote d'Ivoire,Africa,1982,53.983,9025951,2602.710169,7.864308554
Cote d'Ivoire,Africa,1987,54.655,10761098,2156.956069,7.676453279
Cote d'Ivoire,Africa,1992,52.044,12772596,1648.073791,7.407362486
Cote d'Ivoire,Africa,1997,47.991,14625967,1786.265407,7.487882355
Cote d'Ivoire,Africa,2002,46.832,16252726,1648.800823,7.407803529
Cote d'Ivoire,Africa,2007,48.328,18013409,1544.750112,7.342617436
Croatia,Europe,1952,61.21,3882229,3119.23652,8.045343546
Croatia,Europe,1957,64.77,3991242,4338.231617,8.375222083
Croatia,Europe,1962,67.13,4076557,5477.890018,8.608475273
Croatia,Europe,1967,68.5,4174366,6960.297861,8.847977549
Croatia,Europe,1972,69.61,4225310,9164.090127,9.123047878
Croatia,Europe,1977,70.64,4318673,11305.38517,9.333034455
Croatia,Europe,1982,70.46,4413368,13221.82184,9.489623913
Croatia,Europe,1987,71.52,4484310,13822.58394,9.534059051
Croatia,Europe,1992,72.527,4494013,8447.794873,9.041660725
Croatia,Europe,1997,73.68,4444595,9875.604515,9.197822805
Croatia,Europe,2002,74.876,4481020,11628.38895,9.361204711
Croatia,Europe,2007,75.748,4493312,14619.22272,9.590092566
Cuba,Americas,1952,59.421,6007797,5586.53878,8.628115194
Cuba,Americas,1957,62.325,6640752,6092.174359,8.714760335
Cuba,Americas,1962,65.246,7254373,5180.75591,8.552706253
Cuba,Americas,1967,68.29,8139332,5690.268015,8.646512629
Cuba,Americas,1972,70.723,8831348,5305.445256,8.576488979
Cuba,Americas,1977,72.649,9537988,6380.494966,8.761000954
Cuba,Americas,1982,73.717,9789224,7316.918107,8.897944495
Cuba,Americas,1987,74.174,10239839,7532.924763,8.92703866
Cuba,Americas,1992,74.414,10723260,5592.843963,8.629243196
Cuba,Americas,1997,76.151,10983007,5431.990415,8.600060905
Cuba,Americas,2002,77.158,11226999,6340.646683,8.754736043
Cuba,Americas,2007,78.273,11416987,8948.102923,9.099196825
Czech Republic,Europe,1952,66.87,9125183,6876.14025,8.835812763
Czech Republic,Europe,1957,69.03,9513758,8256.343918,9.018737144
Czech Republic,Europe,1962,69.9,9620282,10136.86713,9.223934268
Czech Republic,Europe,1967,70.38,9835109,11399.44489,9.341319939
Czech Republic,Europe,1972,70.29,9862158,13108.4536,9.481012614
Czech Republic,Europe,1977,70.71,10161915,14800.16062,9.602393312
Czech Republic,Europe,1982,70.96,10303704,15377.22855,9.640643029
Czech Republic,Europe,1987,71.58,10311597,16310.4434,9.699560881
Czech Republic,Europe,1992,72.4,10315702,14297.02122,9.567806488
Czech Republic,Europe,1997,74.01,10300707,16048.51424,9.683371554
Czech Republic,Europe,2002,75.51,10256295,17596.21022,9.775438829
Czech Republic,Europe,2007,76.486,10228744,22833.30851,10.03597565
Denmark,Europe,1952,70.78,4334000,9692.385245,9.17909583
Denmark,Europe,1957,71.81,4487831,11099.65935,9.314669698
Denmark,Europe,1962,72.35,4646899,13583.31351,9.516597371
Denmark,Europe,1967,72.96,4838800,15937.21123,9.676411983
Denmark,Europe,1972,73.47,4991596,18866.20721,9.845127622
Denmark,Europe,1977,74.69,5088419,20422.9015,9.924412173
Denmark,Europe,1982,74.63,5117810,21688.04048,9.984516258
Denmark,Europe,1987,74.8,5127024,25116.17581,10.13126737
Denmark,Europe,1992,75.33,5171393,26406.73985,10.18137455
Denmark,Europe,1997,76.11,5283663,29804.34567,10.30240949
Denmark,Europe,2002,77.18,5374693,32166.50006,10.37868082
Denmark,Europe,2007,78.332,5468120,35278.41874,10.47102669
Djibouti,Africa,1952,34.812,63149,2669.529475,7.889657509
Djibouti,Africa,1957,37.328,71851,2864.969076,7.960312835
Djibouti,Africa,1962,39.693,89898,3020.989263,8.013339627
